URL	Source	Headline	Summary
https://www.proquest.com/usnews/docview/3218367332/80CFCF86392C40F0PQ/8?accountid=12339&sourcetype=Other%20Sources	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/2928718466/80CFCF86392C40F0PQ/9?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3055238223/80CFCF86392C40F0PQ/12?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3218494649/80CFCF86392C40F0PQ/13?accountid=12339&sourcetype=Other%20Sources	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3240593431/80CFCF86392C40F0PQ/15?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/2243876637/80CFCF86392C40F0PQ/23?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/2087821219/80CFCF86392C40F0PQ/29?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/2327231237/80CFCF86392C40F0PQ/31?accountid=12339&sourcetype=Newspapers	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/2059395279/80CFCF86392C40F0PQ/38?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/1837107349/54CFF5DFAD4B4217PQ/1?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/1825381456/54CFF5DFAD4B4217PQ/2?accountid=12339&sourcetype=Newspapers	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/2793244331/54CFF5DFAD4B4217PQ/3?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3240593431/54CFF5DFAD4B4217PQ/4?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3081436163/54CFF5DFAD4B4217PQ/5?accountid=12339&sourcetype=Other%20Sources	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/1992555863/54CFF5DFAD4B4217PQ/7?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/1842416952/63D99C3CFFE94AA4PQ/2?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3168482276/63D99C3CFFE94AA4PQ/15?accountid=12339&sourcetype=Other%20Sources	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3217289154/63D99C3CFFE94AA4PQ/17?accountid=12339&sourcetype=Other%20Sources	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3206153561/80CFCF86392C40F0PQ/2?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3172489285/80CFCF86392C40F0PQ/4?accountid=12339&sourcetype=Newspapers	Proquest	Shibboleth Authentication Request	summary not found
https://www.proquest.com/usnews/docview/3060931392/80CFCF86392C40F0PQ/5?accountid=12339&sourcetype=Blogs,%20Podcasts,%20&%20Websites	Proquest	Shibboleth Authentication Request	summary not found
https://www.ft.com/content/cf43983c-3813-11e4-b69d-00144feabdc0	Ft	US Politics 2025	Sign up for your free, indispensable guide to what Trump’s second term means for Washington, business and the world.
https://www.ft.com/content/951a90b6-7594-11e4-a1a9-00144feabdc0	Ft	Atlantic City seeks rebranding as an upmarket destination	"ThenCA$99per month.
Complete digital access to quality FT journalism on any device. 
Cancel anytime during your trial."
https://www.ft.com/content/e2f0058e-17c8-11e4-a82d-00144feabdc0	Ft	China private sector listings trump state fees for first time	ThenCA$99per month. Complete digital access to quality FT journalism on any device. Cancel anytime during your trial.
https://www.ft.com/content/cf99b3d0-029d-11e4-8c28-00144feab7de	Ft	Chinese moves trump Fed’s effect on US bonds	ThenCA$99per month. Complete digital access to quality FT journalism on any device. Cancel anytime during your trial.
https://www.ft.com/content/ebcab6ce-4bc0-11e3-8203-00144feabdc0	Ft	Trump in court to block Scottish wind farm	"ThenCA$99per month.
Complete digital access to quality FT journalism on any device. 
Cancel anytime during your trial."
https://www.ft.com/content/174fb4a6-0da6-11e3-8d9d-00144feabdc0	Ft	Trump targeted in education case	"ThenCA$99per month.
Complete digital access to quality FT journalism on any device. 
Cancel anytime during your trial."
